1.253 1.077 1.023 0.937 0.909 1.036 1.031 1.010 0.971,1.045 1.025 0.915
1.005 0.994 0.930 0.911 0.936 0.937 0.949 0.979 0.965,0.964 0.985 1.011
1.021 0.999 0.915 0.928 0.946 0.944 0.942 0.947 0.949,0.956 0.956 1.011
1.006 1.016 0.874 0.882 0.905 0.922 0.930 0.945 0.939,0.962 0.972 1.013
0.995 0.991 0.949 0.954 0.969 0.963 0.963 0.961 0.948,0.932 0.934 1.005
1.003 0.988 0.961 0.960 0.946 0.966 0.974 0.977 0.980,0.980 0.980 1.004
1.272 1.009 0.951 0.976 0.946 0.966 0.950 0.979 0.975,0.980 1.001 1.017
1.272 0.985 0.929 0.932 0.944 0.937 0.944 0.971 0.956,0.961 0.981 0.992
1.272 0.985 0.892 0.919 0.922 0.924 0.919 0.927 0.912,0.938 0.938 0.986
1.272 0.985 0.910 0.909 0.924 0.921 0.892 0.884 0.909,0.925 0.893 1.160
1.272 0.985 0.910 1.053 1.020 0.941 0.941 0.918 0.891,0.899 0.870 1.082
0.990 0.990 0.990 0.990 0.990 0.990 0.990 0.990 0.990,0.990 0.990 0.990
